Date,Ticker,Weight,Price
1997-07-21,RU20GRTR,1.666960840196463e-17,1721.915
1997-07-21,RU20INTR,2.2768245622195593e-18,1516.09
1997-07-21,RU20VATR,0.010289270549230704,1960.52
1997-07-21,RUMCINTR,3.198396408832238e-18,2011.74
1997-07-21,RUTPINTR,5.692061405548898e-19,1771.24
1997-07-21,S5COND,3.3610267347050637e-18,154.6306
1997-07-21,S5CONS,-6.0173220572945496e-18,204.9
1997-07-21,S5ENRS,-6.965998958219366e-18,182.65
1997-07-21,S5FINL,1.0570971181733668e-18,248.69
1997-07-21,S5HLTH,-5.9631119486702744e-18,241.49
1997-07-21,S5INDU,-7.291259609965017e-18,207.56
1997-07-21,S5INFT,-4.824699667560495e-18,278.76
1997-07-21,S5MATR,-1.0950441942103595e-17,155.64
1997-07-21,S5TELS,-7.860465750519907e-19,141.15
1997-07-21,S5UTIL,-9.215718466126788e-19,123.78
1997-07-21,SPXT,3.496552006265752e-18,1212.5
1997-10-22,BCOMTR,0.19616574783876098,170.146
1997-10-22,LBUSTRUU,0.7442260861618876,753.38
1997-10-22,NDDUE15X,-2.710505431213761e-19,
1997-10-22,NDDUJN,0.027505527902492888,
1997-10-22,NDDUUK,0.03210263809685857,
1997-10-22,NDDUWXUS,-2.6075062248276382e-17,
1997-10-22,RU10GRTR,-7.15573433840433e-18,347.25
1997-10-22,RU10VATR,-7.26415455565288e-18,366.354
1997-10-22,RU20GRTR,7.860465750519907e-18,1988.222
1997-10-22,RU20INTR,1.1384122811097797e-17,1728.65
1997-10-22,RU20VATR,3.122502256758253e-17,2207.34
1997-10-22,RUMCINTR,1.0787811616230769e-17,2235.67
1997-10-22,RUTPINTR,8.673617379884035e-19,1882.1801
1997-10-22,S5COND,1.3010426069826053e-18,167.8804
1997-10-22,S5CONS,-8.673617379884035e-19,205.66
1997-10-22,S5ENRS,4.553649124439119e-18,200.34
1997-10-22,S5FINL,-1.1926223897340549e-18,280.45
1997-10-22,S5HLTH,7.426784881525705e-18,251.09
1997-10-22,S5INDU,-1.6263032587282567e-19,210.9
1997-10-22,S5INFT,5.095750210681871e-18,288.18
1997-10-22,S5MATR,-5.421010862427522e-19,155.42
1997-10-22,S5TELS,-2.5478751053409354e-18,163.76
1997-10-22,S5UTIL,9.64939933512099e-18,132.42
1997-10-22,SPXT,5.854691731421724e-18,1291.71
1998-01-27,BCOMTR,0.1714581266370622,154.724
1998-01-27,LBUSTRUU,0.6955774367552998,777.94
1998-01-27,NDDUE15X,0.0020594617044790283,
1998-01-27,NDDUJN,0.008306378953351328,
1998-01-27,NDDUUK,0.02169616074106407,
1998-01-27,NDDUWXUS,-6.335806445462167e-19,
1998-01-27,RU10GRTR,-2.642742795433417e-19,348.616
1998-01-27,RU10VATR,4.2690460541616737e-19,364.425
1998-01-27,RU20GRTR,-3.6591823321385775e-19,1743.192
1998-01-27,RU20INTR,3.3542504711270293e-19,1598.61
1998-01-27,RU20VATR,0.035629309593820165,2151.1
1998-01-27,RUMCINTR,1.5246593050577406e-19,2143.79
1998-01-27,RUTPINTR,2.168404344971009e-19,1913.39
1998-01-27,S5COND,1.0503208545953324e-19,172.857
1998-01-27,S5CONS,0.00943078128759163,215.79
1998-01-27,S5ENRS,-2.1006417091906648e-19,177.87
1998-01-27,S5FINL,2.574980159653073e-19,275.26
1998-01-27,S5HLTH,3.8285889215894375e-19,272.2
1998-01-27,S5INDU,0.003186644566436296,205.74
1998-01-27,S5INFT,0.007474895598214763,267.06
1998-01-27,S5MATR,1.5246593050577406e-19,137.93
1998-01-27,S5TELS,0.007545777230803127,195.24
1998-01-27,S5UTIL,0.03763502693187758,143.11
1998-01-27,SPXT,2.812149384884277e-19,1297.7
1998-05-01,BCOMTR,0.053100259909624165,148.312
1998-05-01,LBUSTRUU,0.9207257395179225,790.21
1998-05-01,NDDUE15X,6.952446431063297e-18,
1998-05-01,NDDUJN,0.02271173420586315,
1998-05-01,NDDUUK,1.565316886525947e-17,
1998-05-01,NDDUWXUS,1.7889335846010823e-18,
1998-05-01,RU10GRTR,1.8804131429045468e-19,403.708
1998-05-01,RU10VATR,-2.9544509200229996e-18,423.818
1998-05-01,RU20GRTR,-2.354751593366955e-18,2040.823
1998-05-01,RU20INTR,5.1906179007743525e-18,1837.26
1998-05-01,RU20VATR,1.929879867024198e-17,2429.22
1998-05-01,RUMCINTR,9.0801931945661e-19,2474.41
1998-05-01,RUTPINTR,5.590417451878382e-20,2225.29
1998-05-01,S5COND,1.599198204416119e-18,210.243
1998-05-01,S5CONS,-2.0176324803597434e-18,232.69
1998-05-01,S5ENRS,0.0034622663665901544,210.84
1998-05-01,S5FINL,2.1819568721270777e-18,330.86
1998-05-01,S5HLTH,-2.4936649967166602e-18,306.43
1998-05-01,S5INDU,-1.4230153513872246e-18,231.47
1998-05-01,S5INFT,1.8566962203814263e-18,328.37
1998-05-01,S5MATR,-7.182839392716467e-19,163.69
1998-05-01,S5TELS,-1.0977546996415732e-18,206.12
1998-05-01,S5UTIL,6.776263578034403e-20,150.65
1998-05-01,SPXT,-1.794015782284608e-18,1507.33
1998-08-05,BCOMTR,0.030540653273696493,126.833
1998-08-05,LBUSTRUU,0.4526328890292648,809.1
1998-08-05,NDDUE15X,0.09417801398475387,
1998-08-05,NDDUJN,1.52059354691092e-17,
1998-08-05,NDDUUK,0.11843558532799756,
1998-08-05,NDDUWXUS,0.26964936922584,
1998-08-05,RU10GRTR,-7.792703114739563e-19,399.319
1998-08-05,RU10VATR,-8.944667923005412e-19,393.324
1998-08-05,RU20GRTR,-6.776263578034403e-19,1641.185
1998-08-05,RU20INTR,-9.147955830346444e-19,1514.04
1998-08-05,RU20VATR,0.0031714038539309396,2051.05
1998-08-05,RUMCINTR,3.1848438816761693e-19,2213.35
1998-08-05,RUTPINTR,-2.0328790734103208e-19,2189.27
1998-08-05,S5COND,0.015969498239388306,213.9349
1998-08-05,S5CONS,0.01050706423176583,230.33
1998-08-05,S5ENRS,2.0328790734103208e-20,171.7
1998-08-05,S5FINL,9.0801931945661e-19,313.28
1998-08-05,S5HLTH,0.004915522833362182,315.19
1998-08-05,S5INDU,8.131516293641283e-20,209.38
1998-08-05,S5INFT,2.371692252312041e-19,341.05
1998-08-05,S5MATR,3.9302328752599536e-19,134.2
1998-08-05,S5TELS,9.012430558785756e-19,204.78
1998-08-05,S5UTIL,1.4501204056993622e-17,145.13
1998-08-05,SPXT,9.351243737687476e-19,1459.92
1998-11-06,BCOMTR,0.09261335848688089,126.004
1998-11-06,LBUSTRUU,0.8437379954945959,823.31
1998-11-06,NDDUE15X,-8.944667923005412e-19,
1998-11-06,NDDUJN,-2.1955093992831465e-18,
1998-11-06,NDDUUK,0.017880858771282534,
1998-11-06,NDDUWXUS,1.9786689647860456e-18,
1998-11-06,RU10GRTR,3.2526065174565133e-19,426.159
1998-11-06,RU10VATR,2.3852447794681098e-18,412.447
1998-11-06,RU20GRTR,-2.6291902682773483e-18,1660.722
1998-11-06,RU20INTR,-2.032879073410321e-18,1525.61
1998-11-06,RU20VATR,6.5865281978494394e-18,2057.37
1998-11-06,RUMCINTR,-2.574980159653073e-18,2306.21
1998-11-06,RUTPINTR,-1.6805133673525319e-18,2329.4099
1998-11-06,S5COND,-2.4936649967166602e-18,217.4991
1998-11-06,S5CONS,4.743384504624082e-18,244.56
1998-11-06,S5ENRS,2.4990860075790877e-17,188.47
1998-11-06,S5FINL,0.03182320025527066,302.65
1998-11-06,S5HLTH,-3.5236570605778894e-19,344.94
1998-11-06,S5INDU,2.574980159653073e-18,220.11
1998-11-06,S5INFT,-3.63207727782644e-18,370.23
1998-11-06,S5MATR,0.013944586991969902,138.94
1998-11-06,S5TELS,-2.1412992906588713e-18,237.79
1998-11-06,S5UTIL,-3.903127820947816e-18,160.62
1998-11-06,SPXT,-3.1170812458958252e-18,1546.7
1999-02-09,BCOMTR,0.04081389508991958,111.457
1999-02-09,LBUSTRUU,0.8178601954533555,839.62
1999-02-09,NDDUE15X,-7.32514092785519e-18,2779.111
1999-02-09,NDDUJN,0.011986382917007387,3192.691
1999-02-09,NDDUUK,-8.429671891074797e-18,3155.387
1999-02-09,NDDUWXUS,0.008776046552541734,
1999-02-09,RU10GRTR,-9.825582188149884e-19,474.293
1999-02-09,RU10VATR,-2.3852447794681098e-18,420.937
1999-02-09,RU20GRTR,-1.2265037076242269e-18,1777.077
1999-02-09,RU20INTR,-2.168404344971009e-19,1540.91
1999-02-09,RU20VATR,-2.459783678826488e-18,1950.53
1999-02-09,RUMCINTR,-7.724940478959219e-19,2344.46
1999-02-09,RUTPINTR,2.371692252312041e-19,2532.0701
1999-02-09,S5COND,-1.734723475976807e-18,245.411
1999-02-09,S5CONS,0.03925736205937811,231.86
1999-02-09,S5ENRS,1.0706496453294356e-18,178.96
1999-02-09,S5FINL,5.827586677109586e-19,298.8
1999-02-09,S5HLTH,-2.3310346708438345e-18,354.62
1999-02-09,S5INDU,-4.228388472693467e-18,223.98
1999-02-09,S5INFT,0.00964978787499654,475.51
1999-02-09,S5MATR,0.06146491154002844,130.43
1999-02-09,S5TELS,0.010191418512772554,286.56
1999-02-09,S5UTIL,1.951563910473908e-18,151.92
1999-02-09,SPXT,1.3010426069826053e-18,1654.24
1999-05-12,BCOMTR,0.08233072555068593,120.856
1999-05-12,LBUSTRUU,0.703746194691726,834.93
1999-05-12,NDDUE15X,1.4907779871675686e-18,2838.517
1999-05-12,NDDUJN,1.5178830414797062e-18,3787.744
1999-05-12,NDDUNA,1.0164395367051604e-18,3017.71
1999-05-12,NDDUPXJ,2.4936649967166602e-18,1485.756
1999-05-12,NDDUUK,0.027947356402909906,3445.483
1999-05-12,NDDUWXUS,0.11143439046927087,
1999-05-12,NDUEEGF,0.029345491845327795,115.184
1999-05-12,RU10GRTR,1.3010426069826053e-18,521.055
1999-05-12,RU10VATR,-3.347474207548995e-18,489.616
1999-05-12,RU20GRTR,-2.0735366548785272e-18,2035.775
1999-05-12,RU20INTR,2.4801124695605914e-18,1723.74
1999-05-12,RU20VATR,0.02724789946549705,2120.12
1999-05-12,RUMCINTR,-2.3174821436877657e-18,2686.62
1999-05-12,RUTPINTR,5.421010862427522e-20,2840.3401
1999-05-12,S5COND,-6.098637220230962e-19,278.9371
1999-05-12,S5CONS,0.005681862221361692,232.4
1999-05-12,S5ENRS,1.0842021724855044e-18,215.47
1999-05-12,S5FINL,-3.7947076036992655e-19,361.74
1999-05-12,S5HLTH,0.012266079353220785,364.47
1999-05-12,S5INDU,-1.951563910473908e-18,265.8
1999-05-12,S5INFT,-6.776263578034403e-19,532.19
1999-05-12,S5MATR,-5.421010862427522e-19,164.29
1999-05-12,S5TELS,1.1248597539537109e-18,305.71
1999-05-12,S5UTIL,-2.6020852139652106e-18,161.34
1999-05-12,SPXT,-8.267041565201971e-19,1861.97
1999-08-12,BCOMTR,0.11085225257379765,129.366
1999-08-12,LBUSTRUU,0.6329560066237221,818.46
1999-08-12,NDDUE15X,0.024413304180030702,2802.482
1999-08-12,NDDUJN,0.05070435376015108,4116.646
1999-08-12,NDDUNA,-1.7211709488207383e-18,2875.959
1999-08-12,NDDUPXJ,0.023298006780391317,1442.066
1999-08-12,NDDUUK,-4.296151108473811e-18,3338.876
1999-08-12,NDDUWXUS,0.042872860931100376,
1999-08-12,NDUEEGF,0.011694564488682835,115.6
1999-08-12,RU10GRTR,-4.2825985813177425e-18,496.854
1999-08-12,RU10VATR,7.995991022080595e-19,460.938
1999-08-12,RU20GRTR,-9.215718466126788e-19,1908.845
1999-08-12,RU20INTR,1.463672932855431e-18,1651.59
1999-08-12,RU20VATR,-2.1412992906588713e-18,2080.54
1999-08-12,RUMCINTR,1.179069862577986e-18,2543.28
1999-08-12,RUTPINTR,-8.782037597132586e-18,2694.9199
1999-08-12,S5COND,-1.8973538018496328e-19,250.5767
1999-08-12,S5CONS,-2.168404344971009e-19,220.36
1999-08-12,S5ENRS,3.3881317890172014e-18,230.16
1999-08-12,S5FINL,-4.2148359455373985e-18,313.45
1999-08-12,S5HLTH,-5.027987574901527e-18,328.57
1999-08-12,S5INDU,4.336808689942018e-19,248.93
1999-08-12,S5INFT,6.6542908336297835e-18,554.46
1999-08-12,S5MATR,0.0005280351649909892,160.43
1999-08-12,S5TELS,-5.204170427930421e-18,298.76
1999-08-12,S5UTIL,0.10268061549713299,156.65
1999-08-12,SPXT,1.4772254600114998e-18,1777.75
1999-11-12,BCOMTR,0.08853163997169226,137.052
1999-11-12,LBUSTRUU,0.7331236409996039,844.04
1999-11-12,NDDUE15X,0.02446628828811941,3042.484
1999-11-12,NDDUJN,0.006009345073817633,4758.179
1999-11-12,NDDUNA,-2.222614453595284e-18,3097.759
1999-11-12,NDDUPXJ,0.04829823220083052,1540.441
1999-11-12,NDDUUK,0.01010803960743411,3500.234
1999-11-12,NDDUWXUS,0.07487817594526794,
1999-11-12,NDUEEGF,3.63207727782644e-18,126.314
1999-11-12,RU10GRTR,1.3349239248727773e-18,572.228
1999-11-12,RU10VATR,-1.1350241493207625e-19,467.7
1999-11-12,RU20GRTR,2.9519098211812367e-18,2170.422
1999-11-12,RU20INTR,-8.724439356719293e-20,1737.83
1999-11-12,RU20VATR,-7.589415207398531e-18,2003.99
1999-11-12,RUMCINTR,9.305503958535744e-18,2674.35
1999-11-12,RUTPINTR,-3.5575383784680614e-19,2953.52
1999-11-12,S5COND,1.999844788467403e-18,275.4796
1999-11-12,S5CONS,0.008580043530909475,208.79
1999-11-12,S5ENRS,2.947674656444965e-18,216.88
1999-11-12,S5FINL,1.170599533105443e-18,348.79
1999-11-12,S5HLTH,-3.4220131069073734e-19,363.28
1999-11-12,S5INDU,3.14757443199698e-18,255.1
1999-11-12,S5INFT,1.3662641439211864e-18,655.1
1999-11-12,S5MATR,5.248216141187645e-18,147.91
1999-11-12,S5TELS,1.824508968385763e-18,319.93
1999-11-12,S5UTIL,0.006004594382324915,150.34
1999-11-12,SPXT,-1.2730905197232134e-18,1917.72
2000-02-14,BCOMTR,0.11815940086846141,151.37
2000-02-14,LBUSTRUU,0.7379905517562764,835.87
2000-02-14,NDDUE15X,-1.9786689647860456e-18,3516.809
2000-02-14,NDDUJN,0.029062928828084283,4990.647
2000-02-14,NDDUNA,-6.315477654728063e-18,3150.515
2000-02-14,NDDUPXJ,0.01445879358878282,1640.898
2000-02-14,NDDUUK,0.0024419860048550393,3126.534
2000-02-14,NDDUWXUS,0.03589423854523313,
2000-02-14,NDUEEGF,5.637851296924623e-18,154.03
2000-02-14,RU10GRTR,1.4365678785432934e-18,631.378
2000-02-14,RU10VATR,-4.743384504624082e-18,424.376
2000-02-14,RU20GRTR,-3.0899761915836876e-18,2939.27
2000-02-14,RU20INTR,2.6834003769016235e-18,2092.1
2000-02-14,RU20VATR,5.692061405548898e-19,2030.14
2000-02-14,RUMCINTR,2.032879073410321e-18,2879.62
2000-02-14,RUTPINTR,-9.486769009248164e-19,2949.5801
2000-02-14,S5COND,3.74049749507499e-18,277.348
2000-02-14,S5CONS,0.0026158718851670253,182.34
2000-02-14,S5ENRS,0.013120274606391317,196.15
2000-02-14,S5FINL,7.318364664277155e-18,284.23
2000-02-14,S5HLTH,0.003562933350369723,328.29
2000-02-14,S5INDU,-1.5178830414797062e-18,239.83
